flow,date
1.7237805691202395,1958-01-04
0.9608816019686308,1958-01-05
0.001,1958-01-06
0.001,1958-01-07
0.31679625101891007,1958-01-08
1.0957246762695858,1958-01-09
0.001,1958-01-10
0.7433310912798933,1958-01-11
1.7341736535258996,1958-01-12
0.8776348637379787,1958-01-13
1.3095954290623677,1958-01-14
1.3139289723772258,1958-01-15
0.8302164817182655,1958-01-16
0.001,1958-01-17
1.4114528415508623,1958-01-18
0.001,1958-01-19
0.001,1958-01-20
0.001,1958-01-21
1.5851574964432047,1958-01-22
0.001,1958-01-23
0.15763651285360833,1958-01-24
0.14356540868140133,1958-01-25
0.001,1958-01-26
0.5121556483447209,1958-01-27
0.9519834325615388,1958-01-28
0.001,1958-01-29
1.2821060641503084,1958-01-30
0.6741886762166205,1958-01-31
0.5023273108045792,1958-02-01
0.001,1958-02-02
1.1335747555436457,1958-02-03
0.001,1958-02-04
1.1896520329172264,1958-02-05
0.07982473206312343,1958-02-06
0.001,1958-02-07
0.45688095311611165,1958-02-08
0.001,1958-02-09
0.2298741658533373,1958-02-10
3.6218730107294435,1958-02-11
0.4255311177094998,1958-02-12
0.5616056242104184,1958-02-13
1.0959718020842821,1958-02-14
0.5025375836812475,1958-02-15
0.4500675911596876,1958-02-16
0.09255394441634265,1958-02-17
0.2518338628878154,1958-02-18
0.001,1958-02-19
1.161171687998216,1958-02-20
0.001,1958-02-21
0.7629060302780181,1958-02-22
1.3725634405612606,1958-02-23
0.6423231351924723,1958-02-24
0.6521263767188713,1958-02-25
0.8592410038252067,1958-02-26
0.23085995634313114,1958-02-27
0.1713403633863125,1958-02-28
0.8613735287131792,1958-03-01
0.001,1958-03-02
2.5853488352658425,1958-03-03
0.6308977417896887,1958-03-04
0.001,1958-03-05
0.24995315477099658,1958-03-06
1.8549525004691334,1958-03-07
0.001,1958-03-08
0.839271909744017,1958-03-09
0.8252835734207913,1958-03-10
0.6987547628695127,1958-03-11
0.001,1958-03-12
1.445187405894038,1958-03-13
0.001,1958-03-14
0.29568319729123427,1958-03-15
0.001,1958-03-16
1.5025451798450682,1958-03-17
0.001,1958-03-18
0.001,1958-03-19
0.6334639462192242,1958-03-20
0.001,1958-03-21
0.676225982469988,1958-03-22
0.3326407183361389,1958-03-23
0.9586820206546262,1958-03-24
0.001,1958-03-25
1.9303436518027293,1958-03-26
1.2884021876185159,1958-03-27
0.001,1958-03-28
0.001,1958-03-29
0.001,1958-03-30
0.001,1958-03-31
0.001,1958-04-01
0.001,1958-04-02
0.001,1958-04-03
0.06775056241112963,1958-04-04
0.1815940422426969,1958-04-05
0.001,1958-04-06
1.249019650916563,1958-04-07
0.3702486629393512,1958-04-08
1.1076606248235754,1958-04-09
2.5740535058516127,1958-04-10
2.329897517508611,1958-04-11
1.7772696510714097,1958-04-12
2.0479125885818297,1958-04-13
2.5622840467601686,1958-04-14
4.460291592356565,1958-04-15
4.414179461263397,1958-04-16
4.566979559197273,1958-04-17
6.204335057499025,1958-04-18
5.2896652908868464,1958-04-19
6.007226947699037,1958-04-20
5.034782605176708,1958-04-21
6.995940169061688,1958-04-22
9.405651429158311,1958-04-23
7.828329284408829,1958-04-24
8.464829755969902,1958-04-25
10.080345247922788,1958-04-26
10.20388927489872,1958-04-27
9.75217465311847,1958-04-28
10.417272475126099,1958-04-29
10.554179251587843,1958-04-30
10.50518547354916,1958-05-01
10.672711853689746,1958-05-02
11.807597711256495,1958-05-03
12.12865119081569,1958-05-04
12.46879821668284,1958-05-05
11.286781778149077,1958-05-06
11.726402431888344,1958-05-07
13.400188824991577,1958-05-08
11.896964345697818,1958-05-09
12.922814744976375,1958-05-10
11.432527121371006,1958-05-11
11.850057236315328,1958-05-12
11.019254353116455,1958-05-13
13.083595350152228,1958-05-14
9.840997020902678,1958-05-15
10.225508483830712,1958-05-16
10.291149772392723,1958-05-17
15.524446657915187,1958-05-18
15.771176181963433,1958-05-19
20.23889626863141,1958-05-20
21.0878105083569,1958-05-21
25.32101472732232,1958-05-22
27.89300813854902,1958-05-23
27.338840875612654,1958-05-24
25.952672914844445,1958-05-25
25.222658660742514,1958-05-26
25.132801385057757,1958-05-27
23.149733851988767,1958-05-28
21.617119491611746,1958-05-29
21.415711260484795,1958-05-30
21.879409003939877,1958-05-31
20.427928384014017,1958-06-01
17.61205144966725,1958-06-02
16.472760867631862,1958-06-03
13.21237007544931,1958-06-04
11.207015122144742,1958-06-05
11.373923000023666,1958-06-06
6.964992666881108,1958-06-07
8.48117747744542,1958-06-08
4.935016622727908,1958-06-09
6.716100915473432,1958-06-10
5.814378307553321,1958-06-11
5.342725087670759,1958-06-12
1.390529826027954,1958-06-13
2.247104896640757,1958-06-14
1.7985656894361406,1958-06-15
5.068491922376868,1958-06-16
4.323957475745073,1958-06-17
7.126059298809091,1958-06-18
7.723767756404076,1958-06-19
8.63338753575041,1958-06-20
7.778599813796687,1958-06-21
9.859830724948518,1958-06-22
7.370575922035646,1958-06-23
9.35687212788904,1958-06-24
7.415329215089583,1958-06-25
9.04661235512936,1958-06-26
9.42851718649726,1958-06-27
8.377008130996364,1958-06-28
8.791861101663761,1958-06-29
8.779859439725227,1958-06-30
6.197342504338431,1958-07-01
7.300993092931492,1958-07-02
6.0600773033257695,1958-07-03
6.618816688414279,1958-07-04
4.152256932666943,1958-07-05
5.925367836968193,1958-07-06
4.695107199569485,1958-07-07
2.8189368293927357,1958-07-08
4.515815832054582,1958-07-09
3.0878240088007747,1958-07-10
3.9714036293498487,1958-07-11
2.963001508391569,1958-07-12
3.9770508107856926,1958-07-13
3.3042705495750937,1958-07-14
3.484648591048545,1958-07-15
3.7798772851608797,1958-07-16
1.7953965518327006,1958-07-17
1.5740845475596104,1958-07-18
3.6996935967405813,1958-07-19
7.299437365598938,1958-07-20
8.9990391778654,1958-07-21
9.761235240613024,1958-07-22
14.048098794093494,1958-07-23
13.037521666890015,1958-07-24
17.73765195536521,1958-07-25
17.621890996973022,1958-07-26
17.087523176139623,1958-07-27
15.28941541474748,1958-07-28
16.066274673475633,1958-07-29
11.459049587281509,1958-07-30
12.155012244080313,1958-07-31
13.089710421189867,1958-08-01
11.083155445283762,1958-08-02
10.67797826383587,1958-08-03
11.111971154673121,1958-08-04
8.590268693807472,1958-08-05
9.819222948125407,1958-08-06
8.2100068054708,1958-08-07
7.2434536122473885,1958-08-08
6.6255233127960755,1958-08-09
7.368117890927305,1958-08-10
7.770926299663155,1958-08-11
8.651705748507483,1958-08-12
10.322949602916685,1958-08-13
10.915152579734938,1958-08-14
11.401912556608604,1958-08-15
13.913884537947105,1958-08-16
11.406106012664779,1958-08-17
10.392915351047389,1958-08-18
10.524641578975809,1958-08-19
8.45972437769739,1958-08-20
8.060162110808141,1958-08-21
7.254910741227175,1958-08-22
8.366478012538499,1958-08-23
9.639124152493993,1958-08-24
7.189266832900769,1958-08-25
5.847689254105607,1958-08-26
8.45375923096961,1958-08-27
5.172233477002483,1958-08-28
7.241082487547954,1958-08-29
7.448160426404847,1958-08-30
7.77814924538316,1958-08-31
7.0195736179846335,1958-09-01
7.721337291813121,1958-09-02
6.7114184077157635,1958-09-03
8.833050652068254,1958-09-04
9.318606450258244,1958-09-05
10.154574832468118,1958-09-06
8.394664631283238,1958-09-07
7.990009216631873,1958-09-08
8.868262827517086,1958-09-09
7.009549830517101,1958-09-10
7.09844072974034,1958-09-11
5.1910299907068875,1958-09-12
5.879326812020901,1958-09-13
8.122562856151564,1958-09-14
11.1936590060325,1958-09-15
12.403570364076383,1958-09-16
14.660264828652508,1958-09-17
17.856703182981562,1958-09-18
18.021363544433935,1958-09-19
19.081301994597386,1958-09-20
19.446412925192227,1958-09-21
22.921638657987668,1958-09-22
21.948034134279073,1958-09-23
21.968386548484233,1958-09-24
22.924762486290604,1958-09-25
24.364087308701745,1958-09-26
23.210832997329643,1958-09-27
27.948504007377323,1958-09-28
30.369123611256637,1958-09-29
31.765660773660205,1958-09-30
34.2863220631298,1958-10-01
34.38733212838326,1958-10-02
36.78031955277352,1958-10-03
36.45674017628519,1958-10-04
34.86808367797929,1958-10-05
30.459382775727843,1958-10-06
30.852209802409803,1958-10-07
24.209613176678904,1958-10-08
23.83555191111243,1958-10-09
18.862716247173417,1958-10-10
20.44475739410448,1958-10-11
19.788380826600452,1958-10-12
20.015506256286393,1958-10-13
23.136440959602478,1958-10-14
20.317475075111414,1958-10-15
23.099455405155176,1958-10-16
23.53264212087486,1958-10-17
24.42150280865401,1958-10-18
21.548626139316244,1958-10-19
19.31398434263224,1958-10-20
15.004669508799132,1958-10-21
13.185443501537364,1958-10-22
11.56473708511339,1958-10-23
5.303969787140443,1958-10-24
7.534533083691982,1958-10-25
7.039674456865607,1958-10-26
5.8022532105506155,1958-10-27
3.9691885763848544,1958-10-28
5.434919455399901,1958-10-29
3.9284783260764735,1958-10-30
2.7619254676476634,1958-10-31
2.8072763045795783,1958-11-01
4.214079208077909,1958-11-02
4.565123932348198,1958-11-03
4.185805201421705,1958-11-04
5.28681993321446,1958-11-05
8.267898593898149,1958-11-06
8.692349690837391,1958-11-07
7.887987330559677,1958-11-08
6.722798863349813,1958-11-09
6.712367840615433,1958-11-10
7.517918480796661,1958-11-11
7.341632642617413,1958-11-12
6.032680981013746,1958-11-13
6.598792440518293,1958-11-14
4.882502744458871,1958-11-15
5.377924064231919,1958-11-16
8.256708221734687,1958-11-17
3.5895619007469843,1958-11-18
3.421846027623838,1958-11-19
5.452112322215517,1958-11-20
4.376367321252396,1958-11-21
5.617994290434955,1958-11-22
5.465811304300972,1958-11-23
4.529903951267389,1958-11-24
2.6623772368786067,1958-11-25
4.01178798521216,1958-11-26
4.589487605521129,1958-11-27
4.474304248410807,1958-11-28
2.987293788237251,1958-11-29
4.513806411890182,1958-11-30
3.195459574113414,1958-12-01
2.12884878087135,1958-12-02
1.4409295112424658,1958-12-03
0.37994335372138477,1958-12-04
1.319680616483042,1958-12-05
1.6471796260438718,1958-12-06
3.4469925265072296,1958-12-07
1.708750937687548,1958-12-08
0.50526149258506,1958-12-09
1.9000128413022366,1958-12-10
2.1347459256655474,1958-12-11
0.8209688354800423,1958-12-12
0.001,1958-12-13
1.1728328949739222,1958-12-14
0.001,1958-12-15
0.001,1958-12-16
0.001,1958-12-17
1.500960627414524,1958-12-18
0.17049827742795237,1958-12-19
0.26255405725235714,1958-12-20
0.001,1958-12-21
0.001,1958-12-22
0.15960039296816994,1958-12-23
0.522997735309133,1958-12-24
1.5017864505054361,1958-12-25
0.001,1958-12-26
0.8360536329232456,1958-12-27
0.001,1958-12-28
0.5387901893558558,1958-12-29
0.2804756947089604,1958-12-30
0.20794565142542204,1958-12-31
0.2884627519460196,1959-01-01
0.876782425830155,1959-01-02
0.001,1959-01-03
0.11250988421070245,1959-01-04
0.001,1959-01-05
2.335070549032044,1959-01-06
0.001,1959-01-07
1.1252026540169795,1959-01-08
0.11948334747703103,1959-01-09
0.001,1959-01-10
0.27270496129925803,1959-01-11
0.001,1959-01-12
0.001,1959-01-13
1.759340226522796,1959-01-14
0.8840744085446843,1959-01-15
0.001,1959-01-16
0.001,1959-01-17
1.0304352168016973,1959-01-18
0.001,1959-01-19
1.385297208183667,1959-01-20
0.001,1959-01-21
0.001,1959-01-22
0.9165739873577153,1959-01-23
1.3820882686351905,1959-01-24
0.001,1959-01-25
0.001,1959-01-26
0.4797882404949643,1959-01-27
0.001,1959-01-28
0.001,1959-01-29
0.023651049876416044,1959-01-30
1.139797331772793,1959-01-31
0.001,1959-02-01
1.1907871443498823,1959-02-02
0.001,1959-02-03
0.001,1959-02-04
0.001,1959-02-05
0.8772518784400369,1959-02-06
0.12142498830767269,1959-02-07
0.001,1959-02-08
0.001,1959-02-09
0.2104771488565018,1959-02-10
0.7675242959892083,1959-02-11
0.001,1959-02-12
0.8731549219981799,1959-02-13
0.001,1959-02-14
0.5825456233089287,1959-02-15
0.001,1959-02-16
2.252684583198339,1959-02-17
1.1676445489258207,1959-02-18
0.001,1959-02-19
2.179091169828022,1959-02-20
2.828288309080714,1959-02-21
1.121075353914058,1959-02-22
0.6680745589851065,1959-02-23
3.04251625839738,1959-02-24
4.0222547008730976,1959-02-25
6.112718564996394,1959-02-26
3.8373551143416877,1959-02-27
5.481805913122741,1959-02-28
5.987451707270493,1959-03-01
5.545222600838136,1959-03-02
8.119651994098987,1959-03-03
8.967260906566347,1959-03-04
9.331887714799786,1959-03-05
9.019739171770595,1959-03-06
11.577910957998686,1959-03-07
10.333106435261373,1959-03-08
7.525618759189104,1959-03-09
6.781381027346761,1959-03-10
5.939038366982002,1959-03-11
4.70238744618643,1959-03-12
4.64087761598419,1959-03-13
3.097185707344449,1959-03-14
0.2686870252026723,1959-03-15
2.344773715082313,1959-03-16
2.213672951296131,1959-03-17
2.328490631646748,1959-03-18
2.9354720779808856,1959-03-19
1.6977423971699388,1959-03-20
2.168993393630664,1959-03-21
1.7053701010975244,1959-03-22
1.0668780683594277,1959-03-23
0.8703987582209756,1959-03-24
0.001,1959-03-25
0.6604452968408763,1959-03-26
2.649452923720122,1959-03-27
0.001,1959-03-28
1.7045877842968984,1959-03-29
1.6157986046478037,1959-03-30
2.3029067137942376,1959-03-31
1.583722282831789,1959-04-01
3.1335195028625202,1959-04-02
3.4562076833190787,1959-04-03
3.216117716000411,1959-04-04
2.93677364071448,1959-04-05
1.4004454692627328,1959-04-06
4.003720164009976,1959-04-07
1.0342319681327483,1959-04-08
2.870805186415135,1959-04-09
2.7988544172073553,1959-04-10
2.16256808256514,1959-04-11
2.0472585444634506,1959-04-12
4.8438126806166,1959-04-13
4.97083070457341,1959-04-14
7.4914383409640255,1959-04-15
9.172949504554888,1959-04-16
11.939278780286111,1959-04-17
15.467638336046498,1959-04-18
14.223140642309824,1959-04-19
17.233969175776934,1959-04-20
18.844631577111848,1959-04-21
20.323246076217412,1959-04-22
22.49653555673242,1959-04-23
23.08462873567997,1959-04-24
24.33531856777848,1959-04-25
24.641949427900098,1959-04-26
26.556230466216007,1959-04-27
24.87204088627531,1959-04-28
27.074655518741668,1959-04-29
26.151143307457524,1959-04-30
29.225863726719396,1959-05-01
29.022465831606272,1959-05-02
28.83466010819437,1959-05-03
27.67256053469813,1959-05-04
28.4901800218998,1959-05-05
25.280975268883317,1959-05-06
27.887937777796715,1959-05-07
24.627927010992224,1959-05-08
24.25271294074418,1959-05-09
24.264635655658996,1959-05-10
24.886517048368063,1959-05-11
25.734923918802885,1959-05-12
23.806164821703554,1959-05-13
24.905485115753144,1959-05-14
27.33916052952713,1959-05-15
25.142606595862546,1959-05-16
25.01427847948979,1959-05-17
21.744676819048266,1959-05-18
17.547473349850762,1959-05-19
15.107121997894787,1959-05-20
12.185477803332521,1959-05-21
9.549435435694816,1959-05-22
5.938813695912044,1959-05-23
6.9676741168607075,1959-05-24
8.056894809993095,1959-05-25
5.562122556493524,1959-05-26
5.117878821210141,1959-05-27
4.547609379544785,1959-05-28
4.355913271654982,1959-05-29
2.691573998514828,1959-05-30
5.052754888731836,1959-05-31
4.168386456737576,1959-06-01
4.124140928525506,1959-06-02
2.8545424769351726,1959-06-03
4.464534781854471,1959-06-04
2.8393764391739285,1959-06-05
4.715300623189867,1959-06-06
3.627130429985084,1959-06-07
4.3801915965293095,1959-06-08
0.4004390683253334,1959-06-09
2.521608315944457,1959-06-10
1.2273408930911838,1959-06-11
1.0052177618904554,1959-06-12
1.7574947784891357,1959-06-13
0.9697110214426589,1959-06-14
2.7297330357019627,1959-06-15
2.7767339961088813,1959-06-16
2.044479418237902,1959-06-17
0.001,1959-06-18
2.396884348971935,1959-06-19
1.5223649439192148,1959-06-20
0.34795711884079894,1959-06-21
2.4812556040975107,1959-06-22
0.06310945773444943,1959-06-23
0.07795886246150785,1959-06-24
1.250472528317104,1959-06-25
3.057548127089583,1959-06-26
1.424316109801468,1959-06-27
0.001,1959-06-28
1.5558743873998688,1959-06-29
1.5499867691896816,1959-06-30
0.001,1959-07-01
2.1541314665509,1959-07-02
0.6850102511844994,1959-07-03
0.001,1959-07-04
1.1375486067146676,1959-07-05
0.3609323368630595,1959-07-06
1.7424198570635427,1959-07-07
2.612288891719335,1959-07-08
2.749664663440867,1959-07-09
1.071059097117425,1959-07-10
1.8588740777620407,1959-07-11
2.802376297382997,1959-07-12
2.3176955832321156,1959-07-13
2.297772034951286,1959-07-14
0.3449166166855233,1959-07-15
2.806672149441419,1959-07-16
1.725922111421433,1959-07-17
2.8783827963369357,1959-07-18
3.7374423101768595,1959-07-19
2.261463401866488,1959-07-20
1.1033754879248847,1959-07-21
2.1209671747425904,1959-07-22
0.3783603441687473,1959-07-23
0.7797368386265842,1959-07-24
0.7006813654597054,1959-07-25
2.4549902906069168,1959-07-26
3.811589148460188,1959-07-27
0.9751292604219051,1959-07-28
